"","countytown","ref10","ref11","ref12","ref13","ref14","ref15","ref16","ref7","ref8","ref9","people","elderSum","marriedSum","elderPerc","marriedPerc","ageMedian","seven_n","univPerc","countytown.id","tks.sum","kmt.rate","dpp.rate","other.rate"
"41","宜蘭縣三星鄉",0.688527838319794,0.643445469881909,0.549379652605459,0.507652809321615,0.290849018822587,0.312080872785507,0.51099066546221,0.703513540722843,0.681118314424635,0.677897710077676,18580,4138,13464,0.222712594187298,0.72465016146394,49.4806693594922,4,0.174509604634617,"10002100",12748,47.48,41.68,10.83
"42","宜蘭縣五結鄉",0.694296941376381,0.630528271834351,0.545028242566343,0.487713364688474,0.310129287317021,0.330308529945554,0.527262959978512,0.72801338081364,0.711704422869471,0.710238595357354,33997,6313,23990,0.185692855251934,0.705650498573404,46.4531502423263,8,0.216855771631481,"10002090",21995,47.07,39.93,13
"43","宜蘭縣冬山鄉",0.697756358334683,0.630222185850485,0.539814322522596,0.503430185633575,0.310277244702135,0.33038263849229,0.545851708362527,0.734585781676736,0.724929202065634,0.717531661286317,44194,8320,31536,0.188260849889125,0.713581029098973,46.4060951437066,6,0.215811420304655,"10002080",28676,45.83,41.93,12.25
"44","宜蘭縣南澳鄉",0.818401937046005,0.75984796129924,0.65359477124183,0.242162162162162,0.172830725462304,0.191527233891064,0.559055118110236,0.760515346722243,0.753793626707132,0.736322188449848,4452,549,3348,0.123315363881402,0.752021563342318,41.9489247311828,1,0.0899339933993399,"10002120",3657,88.73,7.11,4.16
"45","宜蘭縣員山鄉",0.689777427614733,0.619047619047619,0.544056035611417,0.484850463628053,0.307854925018167,0.306672820783331,0.493992698307335,0.704707370663826,0.68049543850303,0.681981861829821,27399,5210,19357,0.190152925289244,0.706485638161977,46.7903930131004,5,0.184255581427202,"10002070",18337,42.78,44.47,12.76
"46","宜蘭縣壯圍鄉",0.693988199649179,0.626434948979592,0.555679464712442,0.514276599138619,0.319555233260817,0.318108326596605,0.508068459657702,0.699476354115529,0.668334290166489,0.675850228907783,20849,3959,14808,0.189889203319104,0.710249892081155,47.0541082164329,4,0.178027915353444,"10002060",15283,45.66,42.59,11.75
"47","宜蘭縣大同鄉",0.843688501546247,0.779308405960079,0.715730337078652,0.323828125,0.19245413637937,0.183206106870229,0.511083228774571,0.706489041684572,0.68,0.668101592767972,4764,581,3582,0.121956339210747,0.751889168765743,42.9040948275862,0,0.0792482077116838,"10002110",3906,86.02,9.58,4.4
"48","宜蘭縣宜蘭市",0.681243624428971,0.62824175580803,0.569486036245869,0.453822643515237,0.317709262894878,0.333637374860957,0.536116648375031,0.733601673000382,0.722829018338727,0.72264465040943,76761,14146,52947,0.184286291215591,0.68976433345058,45.6117866519276,19,0.275824481935882,"10002010",49309,48.45,36.57,14.98
"49","宜蘭縣礁溪鄉",0.697970294100243,0.616756532559104,0.537810650887574,0.496286691029117,0.304368527556243,0.31914260196487,0.52876185901285,0.716520688613712,0.697373981285844,0.700475531210498,30269,6169,21314,0.203805873996498,0.704152763553471,47.2969107551487,11,0.204705220732965,"10002050",21123,45.91,41.65,12.44
"50","宜蘭縣羅東鎮",0.684178925247673,0.627286104687828,0.560902345979394,0.476090415153243,0.324618211391909,0.34163873033131,0.526793796391286,0.728396928100623,0.706645694062131,0.71426844379968,55838,10853,39523,0.194365844048856,0.707815466169992,45.738880218494,16,0.260379292670425,"10002020",35015,52.71,35.4,11.9
"51","宜蘭縣蘇澳鎮",0.690541922290389,0.626127527216174,0.52024457917994,0.492081332379687,0.298647672137917,0.315881686076471,0.521373728989417,0.714159292035398,0.683855571695372,0.68013345149351,33623,7398,24260,0.220027957053208,0.721529905124468,48.3232729711603,11,0.167078582261417,"10002030",22941,49.44,39.21,11.36
"52","宜蘭縣頭城鎮",0.693994211287988,0.622299299082304,0.542209672748335,0.454591358291856,0.300268096514745,0.313164172630666,0.504096280722105,0.712364614378135,0.683008437590922,0.681613372093023,24419,5008,17586,0.205086203366231,0.720176911421434,47.232452339688,7,0.169975043194471,"10002040",17131,54.9,34.87,10.23
"53","屏東縣三地門鄉",0.74584801207851,0.677540777917189,0.631328320802005,0.333525179856115,0.258331038281465,0.272475795297372,0.528884769848625,0.721698113207547,0.69609079445145,0.663527934714375,6201,844,4313,0.136107079503306,0.695532978551846,43.9774696707106,1,0.103625377643505,"10013260",5157,56.14,42.21,1.65
"54","屏東縣九如鄉",0.7077568934262,0.634954058192956,0.557206251205865,0.548643282594308,0.275405431340562,0.28305507580119,0.491702045542262,0.689360876733585,0.639198218262806,0.657976352006203,18550,3454,13081,0.186199460916442,0.705175202156334,46.1348069738481,4,0.177439733158134,"10013080",13243,30.03,67.75,2.22
"55","屏東縣佳冬鄉",0.714419475655431,0.620222092343659,0.569144590967441,0.535076604077871,0.286559394226219,0.299074293852362,0.507625272331155,0.679056468906362,0.64277079303675,0.674476987447699,16605,4019,11967,0.242035531466426,0.720686540198735,49.8270440251572,3,0.14609743618896,"10013210",11885,37.29,61.32,1.39
"56","屏東縣來義鄉",0.761327713382508,0.696977660972405,0.646823278163374,0.246242142661929,0.21103374397429,0.220257234726688,0.592303402119353,0.743489218706245,0.722175497617045,0.70527201346046,6055,803,4283,0.132617671345995,0.707349298100743,44.4217970049917,0,0.09826234045825,"10013300",4753,56.24,42.42,1.35
"57","屏東縣內埔鄉",0.721761299801227,0.659419036915363,0.572931034482759,0.492673131969069,0.284053229585746,0.298826746647848,0.521036042209127,0.721167883211679,0.682495301828849,0.69690063810392,46310,9701,32361,0.209479594040164,0.698790757935651,48.3513189448441,13,0.194342917478882,"10013130",29035,36.84,61.3,1.86
"58","屏東縣南州鄉",0.7099533437014,0.618712076727344,0.542349726775956,0.525483304042179,0.317005177220231,0.322632103688933,0.503723083115315,0.704536249493722,0.664841849148418,0.664308811641067,9275,2265,6644,0.244204851752022,0.71633423180593,49.9501329787234,2,0.161303503932986,"10013200",7059,42.84,54.91,2.25
"59","屏東縣屏東市",0.71304510327694,0.658586525759577,0.58991476491614,0.447345118231609,0.296599496221662,0.32471798274718,0.55552456602258,0.744284476062902,0.712814090196211,0.728371903814862,165469,30792,112452,0.186089237258943,0.679595573793279,46.5226050587532,38,0.277562402230837,"10013010",101872,45.47,52.39,2.14
"60","屏東縣崁頂鄉",0.700727666821489,0.633857054836722,0.564687740940632,0.516795865633075,0.295835922933499,0.313121890547264,0.528911296675595,0.714785373608903,0.673518164435946,0.678117048346056,11895,2292,8375,0.192686002522068,0.704077343421606,46.7760521042084,0,0.172502937720329,"10013180",8297,38.8,59.33,1.87
"61","屏東縣恆春鎮",0.709467260432129,0.628233738325481,0.529926525220837,0.461275069297244,0.299510901102545,0.303717810714581,0.523897677549647,0.754616296798238,0.706186003215706,0.698135593220339,24920,4447,17883,0.178451043338684,0.717616372391653,45.7654792196777,14,0.148439832785906,"10013040",16593,40.55,58.05,1.4
"62","屏東縣新園鄉",0.706098457016899,0.632723252671662,0.562857670297212,0.529569564687233,0.271616367339382,0.296500464540105,0.509181761399126,0.68167001003009,0.645118733509235,0.6477265560951,29806,5769,21009,0.193551633899215,0.704858082265316,46.0327687776141,4,0.156603773584906,"10013170",20790,39.28,58.2,2.52
"63","屏東縣新埤鄉",0.729788624972761,0.626716060143822,0.556788511749347,0.504735256134309,0.263319447489586,0.285432207108381,0.501446694858669,0.69261744966443,0.651878678134903,0.653691275167785,8770,2083,6388,0.23751425313569,0.728392246294185,50.5673181324647,1,0.116542570411136,"10013150",6441,41.34,57.1,1.55
